Edad,AÑO,Hombre,Mujer,,,
0,2010,94,62,,,
1,2010,20,10,,,
5,2010,5,4,,,
10,2010,12,5,,,
15,2010,29,7,,,
20,2010,39,12,,,
25,2010,63,23,,,
30,2010,73,27,,,
35,2010,62,29,,,
40,2010,86,33,,,
45,2010,90,42,,,
50,2010,121,69,,,
55,2010,139,83,,,
60,2010,141,120,,,
65,2010,160,114,,,
70,2010,174,168,,,
75,2010,190,172,,,
80,2010,223,182,,,
85,2010,349,338,,,
0,2019,103,87,,,
1,2019,12,16,,,
5,2019,14,9,,,
10,2019,11,10,,,
15,2019,30,15,,,
20,2019,63,13,,,
25,2019,77,23,,,
30,2019,74,37,,,
35,2019,95,26,,,
40,2019,114,58,,,
45,2019,122,98,,,
50,2019,164,97,,,
55,2019,219,124,,,
60,2019,226,157,,,
65,2019,255,179,,,
70,2019,257,222,,,
75,2019,227,218,,,
80,2019,275,237,,,
85,2019,467,466,,,
0,2021,79,54,,,
1,2021,15,12,,,
5,2021,4,6,,,
10,2021,5,7,,,
15,2021,42,19,,,
20,2021,54,16,,,
25,2021,86,30,,,
30,2021,112,61,,,
35,2021,139,59,,,
40,2021,137,95,,,
45,2021,190,146,,,
50,2021,261,183,,,
55,2021,324,239,,,
60,2021,347,300,,,
65,2021,425,330,,,
70,2021,416,331,,,
75,2021,428,291,,,
80,2021,424,347,,,
85,2021,592,545,,,
